Fault,Index,Long,Lat,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Opawa,66,170.707523,-44.130014,0.022,-0.031,0.042,0.040,0.139,0.023,-0.030,0.043,0.038,0.042
Hunters,67,170.930724,-44.497079,0.045,-0.061,0.084,0.080,0.139,0.045,-0.053,0.070,0.071,0.307
Ben McLeod,68,170.942178,-43.686921,0.000,-0.636,0.508,0.636,0.000,-0.001,-0.610,0.416,0.650,-0.225
Lake Heron,69,171.115156,-43.425201,-0.479,-0.556,1.000,0.938,-0.423,-0.645,-0.382,0.927,0.942,-0.409
Fox Peak,70,170.8625,-43.692083,0.308,-0.598,0.500,0.583,-0.217,0.275,-0.542,0.568,0.516,-0.225
Double Hill,71,171.347975,-43.316081,0.658,-0.082,0.358,0.182,-0.184,0.649,-0.064,0.309,0.200,0.170
Maimai: South,72,171.408529,-42.385745,0.000,-0.175,0.268,0.088,0.000,0.005,-0.177,0.268,0.092,-0.115
Kelly,73,171.555169,-42.817725,13.000,0.000,3.300,2.298,0.000,14.520,1.070,3.842,2.130,-0.114
Alpine: Kaniere to Springs Junction,74,171.262124,-42.831096,10.607,-5.304,4.566,5.715,0.302,11.981,-3.146,6.054,4.759,0.234
Hutt Peel,75,171.492174,-43.591627,0.000,-0.636,0.508,0.636,0.000,0.036,-0.694,0.439,0.628,-0.017
Paparoa West,76,171.525618,-42.005521,0.000,-0.750,1.152,0.426,0.000,0.357,-0.643,0.464,0.452,0.232
Paparoa West: North,77,171.802454,-41.674518,0.000,-0.150,0.230,0.098,0.000,-0.015,-0.149,0.258,0.097,0.032
Kongahau,78,172.087166,-40.974946,0.000,-0.150,0.230,0.098,0.000,0.018,-0.149,0.218,0.086,0.047
Alpine: Kaniere to Springs Junction,79,171.799075,-42.560661,10.607,-5.304,4.566,5.715,0.302,12.667,-0.545,2.757,3.084,0.166
Hope: Taramakau,80,171.581682,-42.751793,4.041,0.503,1.583,1.051,0.107,4.051,0.885,1.326,1.176,-0.123
Maimai: North,81,171.804919,-42.010848,0.000,-0.500,0.768,0.264,0.000,0.027,-0.520,0.777,0.247,0.092
Maimai,82,171.608942,-42.180689,0.000,-1.061,0.846,0.484,0.000,0.091,-0.679,0.529,0.345,0.197
Porters Pass,83,171.803248,-43.284744,3.288,-0.310,0.866,0.876,0.002,3.196,-0.304,0.781,0.650,0.101
Lees Valley,84,172.113086,-43.172499,0.191,-0.263,0.353,0.328,0.234,0.231,-0.207,0.383,0.356,0.062
Rakaia,85,171.91057,-43.754129,0.235,0.036,0.119,0.066,0.198,0.145,0.025,0.082,0.046,0.335
Hororata,86,171.9925,-43.4825,0.154,-0.271,0.285,0.304,-0.105,0.135,-0.243,0.227,0.271,-0.207
Hope: Hurunui,87,171.866341,-42.73226,16.257,-2.024,6.063,4.221,-0.094,21.104,-0.834,2.993,2.872,-0.076
Clarence: Southwest,88,172.36318,-42.538439,4.200,0.000,0.250,0.742,0.000,4.204,0.017,0.245,0.763,0.199
Clarence: Central,89,172.983369,-42.305596,3.000,0.000,1.000,0.530,0.000,3.007,0.015,0.900,0.561,0.231
Kakapo,90,172.329074,-42.668097,6.014,-0.380,2.598,1.266,-0.099,6.489,-0.317,2.820,1.334,-0.050
Hope: Hope River,91,172.324695,-42.613631,10.243,-1.275,3.506,2.652,-0.072,10.950,-1.133,2.814,2.087,-0.251
Awatere: Southwest,92,172.841343,-42.14605,5.450,-0.513,1.127,1.449,0.048,5.600,0.289,0.907,1.103,0.146
Alpine: Springs Junction to Tophouse,93,172.373152,-42.164918,5.168,-0.795,2.900,1.465,-0.232,4.284,-0.734,3.437,1.481,-0.423
Hope: Kakapo-2-Hamner,94,172.603267,-42.585501,16.257,-2.024,6.063,4.221,-0.094,17.163,-2.776,5.341,4.767,-0.061
AmberBlyth,95,173.127374,-42.976621,0.000,-1.308,1.042,0.920,0.000,0.125,-0.986,0.787,0.625,-0.192
Hope: Hanmer NW,96,172.700106,-42.549787,14.095,1.755,4.419,3.642,0.049,14.129,1.018,4.145,2.625,-0.112
Hanmer,97,172.849486,-42.526897,1.626,0.813,1.671,1.159,0.499,1.769,1.114,1.957,1.234,0.496
Hope: Hanmer SE,98,172.858137,-42.562364,12.686,1.579,3.319,3.267,0.004,12.962,3.952,2.830,1.945,-0.104
Hope: Hanmer SW,99,172.706203,-42.576745,0.786,0.739,1.492,1.539,-0.492,0.968,0.615,1.274,1.540,-0.424
Wairau 3,100,174.391365,-41.361499,1.368,1.588,2.092,1.873,-0.738,1.620,1.412,1.462,1.186,-0.593
Wairau 2,101,174.219734,-41.380689,3.758,0.354,1.368,0.781,0.112,3.377,-0.182,1.627,0.854,0.310
Wairau,102,173.600816,-41.569661,4.900,0.000,0.500,0.490,0.000,4.827,0.032,0.538,0.494,-0.159
Flaxmore - Waimea - Tahunanui,103,173.06318,-41.435144,0.000,-0.089,0.188,0.038,0.000,-0.010,-0.089,0.222,0.037,-0.305
Waimea Offshore,104,173.706797,-40.880558,0.000,-0.100,0.154,0.066,0.000,-0.007,-0.094,0.171,0.065,-0.052
Hope: Conway,105,173.394696,-42.394796,15.800,0.000,0.200,2.032,0.000,15.799,-0.134,0.191,1.997,-0.142
Clarence: Central,106,173.262357,-42.211532,3.000,0.000,1.000,0.530,0.000,3.005,0.002,1.049,0.499,-0.030
Awatere: Northeast 1,107,173.227873,-42.082524,5.638,-0.531,2.538,1.347,-0.129,4.850,-0.343,2.735,1.582,-0.142
Barefell,108,173.136749,-42.208331,0.470,-0.086,0.398,0.150,-0.427,0.468,-0.085,0.363,0.168,-0.456
Oaonui,109,173.816429,-39.372385,0.000,0.055,0.116,0.055,0.000,0.010,0.056,0.137,0.047,-0.101
Manahi 1,110,173.683576,-39.454127,0.000,0.015,0.024,0.008,0.000,0.000,0.015,0.025,0.010,-0.084
Cape Egmont: Central,111,173.609464,-39.519026,0.000,0.175,0.268,0.096,0.000,0.103,0.146,0.200,0.065,0.080
Cape Egmont: South,112,173.393087,-39.693287,0.000,0.215,0.330,0.114,0.000,-0.026,0.160,0.209,0.075,-0.279
Hawkswood,113,173.346666,-42.713333,0.000,-1.061,0.846,0.752,0.000,-0.085,-0.937,0.644,0.680,-0.195
Awatere: Northeast 1,114,173.773584,-41.785352,5.638,-0.531,2.538,1.347,-0.129,4.766,-0.280,2.302,1.329,-0.490
Fidget,115,173.552439,-42.154411,2.000,0.000,1.000,0.200,0.000,1.939,0.003,0.972,0.217,0.107
Clarence: Northeast,116,173.704716,-42.022651,4.059,-0.739,1.133,1.151,0.006,4.042,-0.487,0.977,1.082,0.373
Te Rapa 2,117,174.861924,-41.870136,1.415,-0.484,1.083,0.831,-0.207,1.014,-0.363,0.753,0.606,-0.233
Te Rapa 1,118,174.551651,-41.959945,1.879,-0.119,1.164,0.400,-0.163,1.853,-0.099,1.003,0.377,-0.370
Hope: Te Rapa,119,174.266784,-42.070884,2.819,-0.178,1.747,0.599,-0.163,2.436,-0.183,1.687,0.615,-0.383
Hope: Seaward,120,173.779273,-42.273981,3.759,-0.238,1.388,0.789,-0.076,3.705,-0.181,1.206,0.787,0.191
Jordan,121,173.71125,-42.224838,6.841,-15.010,8.957,5.384,0.611,9.413,-11.690,3.748,3.196,0.250
Kekerengu 1,122,173.950519,-42.003718,16.263,-8.132,6.963,8.755,0.308,15.618,-3.468,5.739,4.669,0.330
Turi: North,123,174.399686,-38.585609,0.000,0.200,0.308,0.106,0.000,0.139,0.177,0.160,0.093,0.169
Turi: Central,124,174.177129,-38.821367,0.000,0.200,0.308,0.106,0.000,-0.035,0.212,0.195,0.103,-0.132
Turi: South,125,174.038225,-38.935933,0.000,0.200,0.308,0.106,0.000,-0.126,0.148,0.103,0.091,-0.413
Marlborough Slope 10,126,174.329027,-42.534139,0.000,-0.198,0.158,0.184,0.000,-0.001,-0.196,0.136,0.213,-0.059
Hikurangi Wellington,127,176.466419,-41.771508,0.000,-25.000,10.472,5.000,0.000,1.643,-23.275,11.296,6.956,-0.202
Hikurangi Hawke Bay,128,178.631559,-40.255519,0.000,-44.000,18.430,7.000,0.000,-0.917,-30.191,4.310,1.949,-0.447
Hikurangi Raukumara,129,179.158777,-38.459571,0.000,-54.000,22.620,6.000,0.000,6.713,-43.390,5.200,3.937,0.351
Kermadec Trench,130,180.358194,-36.997177,0.000,-46.765,25.536,9.278,0.000,8.557,-44.080,18.631,5.781,-0.115
Awatere: Northeast 2,131,174.162958,-41.573927,1.500,0.000,1.000,0.192,0.000,1.421,0.006,0.879,0.208,-0.074
Vernon 2,132,174.108953,-41.560684,4.500,0.000,1.250,0.796,0.000,4.331,-0.033,1.064,0.935,0.258
Vernon 1,133,174.035834,-41.605833,1.539,-1.095,2.616,3.478,0.831,1.577,-0.537,2.435,3.058,0.823
BooBoo,134,174.54396,-41.707404,7.800,0.971,2.043,2.223,-0.021,7.663,2.204,1.894,1.645,-0.051
Needles,135,174.29152,-41.789682,15.035,-0.950,4.617,3.153,-0.050,12.912,-1.080,4.099,3.291,-0.150
London Hill,136,174.185331,-41.785192,0.000,-0.129,0.122,0.082,0.000,-0.002,-0.128,0.121,0.068,0.068
Chancet,137,174.40612,-41.903347,3.000,0.000,1.500,0.386,0.000,2.874,-0.001,1.470,0.316,0.221
Campbell Bank,138,174.66833,-41.75452,2.819,-0.434,1.241,0.784,-0.150,2.736,-0.361,0.988,0.731,0.000
Vernon 3,139,174.204416,-41.537438,0.855,0.803,1.477,1.549,-0.771,0.751,0.912,1.250,1.415,-0.720
Cloudy 3,140,174.386045,-41.477161,0.513,0.482,0.969,1.000,-0.505,0.386,0.562,0.690,0.665,-0.546
Cloudy 2,141,174.30286,-41.468674,0.513,0.482,0.969,1.000,-0.505,0.548,0.447,0.926,1.014,-0.615
Cloudy 1,142,174.230354,-41.507579,1.500,0.000,1.000,0.266,0.000,1.241,-0.008,1.001,0.265,0.116
Vernon 4,143,174.331674,-41.536928,1.539,1.446,2.645,2.777,-0.785,1.438,1.702,2.605,2.113,-0.794
Wairarapa: Needles,144,174.595176,-41.602191,11.000,0.000,2.000,1.944,0.000,10.740,-0.180,1.895,2.269,-0.315
Wairarapa: 1,145,174.990746,-41.358049,10.336,-1.287,3.050,2.668,-0.034,9.177,-0.695,2.571,2.571,-0.061
Northern Ohariu,146,175.323855,-40.67201,1.500,0.000,1.000,0.150,0.000,1.293,-0.003,1.067,0.137,-0.234
Ohariu,147,174.779474,-41.200397,1.500,0.000,0.500,0.150,0.000,1.451,0.005,0.440,0.186,-0.065
Ohariu South 2,148,174.575558,-41.402803,1.409,0.175,0.629,0.368,0.142,1.360,0.180,0.598,0.321,-0.036
Ohariu South 1,149,174.476577,-41.440251,1.060,0.448,0.642,0.613,0.048,0.820,0.447,0.483,0.516,0.130
Wellington Hutt Valley: 4,150,174.852446,-41.227473,6.484,0.611,2.543,1.544,0.099,5.948,0.594,2.460,1.471,0.010
Wellington Hutt Valley: 3,151,174.720497,-41.324434,5.500,0.000,2.100,0.550,0.000,4.234,-0.047,2.087,0.533,-0.233
Wellington Hutt Valley: 2,152,174.651813,-41.403747,5.169,-0.327,2.779,1.094,-0.136,3.688,0.074,2.728,1.141,-0.327
Wellington Hutt Valley: 1,153,174.583449,-41.445491,5.168,0.643,2.742,1.363,0.191,2.555,0.459,2.017,1.061,-0.125
Fisherman 1,154,174.666886,-41.01725,0.000,-0.259,1.418,0.122,0.000,-0.326,-0.260,0.933,0.103,0.201
Fisherman 2,155,174.788194,-40.854644,0.000,-0.259,1.418,0.122,0.000,-0.274,-0.246,0.687,0.108,-0.102
