Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Alpine Springs Junction to Tophouse,77,172.392345,-42.116224,5.168,-0.795,2.648,1.096,-0.315,5.205,-0.918,2.108,0.988,-0.096
Waitohi Downs,78,172.502886,-42.873961,0,-0.321,0.17,0.204,0,0.001,-0.317,0.165,0.256,0.033
Hope 1888,79,172.687573,-42.585513,13.991,-0.251,3.02,1.199,-0.038,14.025,-0.019,2.611,0.997,0.167
Hope Conway,80,173.249533,-42.434406,24.814,-1.042,3.658,2.672,-0.027,22.488,-1.897,2.751,1.393,-0.203
Lowry,81,172.935595,-42.812009,0.035,-0.573,0.17,0.409,-0.122,0.034,-0.573,0.182,0.446,-0.436
Clarence Southwest,82,172.965943,-42.392947,2.989,-0.089,1.018,0.329,-0.083,2.983,-0.09,1.044,0.311,-0.302
Clarence Northeast,83,173.335368,-42.239271,4.059,-0.739,0.946,0.824,-0.052,3.961,-0.668,0.842,0.745,-0.301
Clarence Central,84,173.004558,-42.300264,1.096,-0.033,0.208,0.12,-0.035,1.095,-0.031,0.209,0.114,0.182
Wairau 3,85,174.391365,-41.361499,2.294,1.385,1.065,1.122,-0.1,2.217,1.422,1.098,1.046,-0.221
Wairau 2,86,174.219734,-41.380689,3.316,0.579,1.159,0.743,0.166,3.147,0.654,1.075,0.62,0.15
Wairau 1,87,173.79459,-41.496682,3.985,0.03,1.026,0.34,0.02,3.87,0.024,0.945,0.34,-0.066
Wairau A,88,172.977422,-41.755432,3.985,0.03,1.026,0.34,0.02,4.124,0.115,0.981,0.298,-0.223
Manaia,89,173.771183,-40.79604,0,-0.1,0.118,0.08,0,-0.007,-0.092,0.107,0.082,-0.08
Waimea North,90,173.31975,-41.3,0,-0.25,0.296,0.226,0,-0.004,-0.24,0.261,0.262,-0.128
Waimea South,91,172.91325,-41.710025,0,-0.25,0.296,0.226,0,0.023,-0.242,0.23,0.242,-0.079
Clarence Central,92,173.267776,-42.210727,1.096,-0.033,0.208,0.12,-0.035,1.083,-0.033,0.198,0.113,0.206
Barefell,93,173.153927,-42.165024,0.433,-0.125,0.438,0.264,-0.333,0.433,-0.118,0.445,0.256,-0.334
Cape Egmont North,94,173.545944,-39.541842,0,0.4,0.336,0.16,0,-0.099,0.145,0.168,0.063,-0.019
Cape Egmont Central,95,173.360763,-39.777508,0,0.4,0.336,0.16,0,0.064,0.256,0.304,0.108,0.022
Hundalee,96,173.469576,-42.540596,0,-0.7,0.16,0.698,0,-0.003,-0.668,0.158,0.629,0.16
Awatere Northeast 1,97,173.72249,-41.807362,5.638,-0.531,2.224,1.062,-0.154,5.364,-0.452,2.046,0.96,-0.078
Fidget,98,173.551125,-42.153497,2,0,1,0.698,0,1.852,-0.067,0.984,0.563,0.02
Clarence Northeast,99,173.672795,-42.022044,4.059,-0.739,0.946,0.824,-0.052,4.012,-0.616,1.026,0.741,0.067
Hope Offshore 1,100,173.880081,-42.241514,4.415,-0.803,2.309,1.278,-0.236,4.212,-0.641,2.568,1.117,-0.13
Hope Offshore 2,101,174.411614,-42.0114,2.25,-1.133,1.418,1.234,-0.189,2.397,-0.948,1.444,1.248,-0.125
Te Rapa 1,102,174.601166,-41.956025,1.879,-0.119,1.056,0.332,-0.182,1.97,-0.135,1.091,0.349,-0.076
Te Rapa 2,103,174.745766,-41.934953,1.285,-0.524,0.882,0.71,-0.214,1.275,-0.574,0.732,0.658,-0.337
Jordan,104,173.714175,-42.222535,3.473,-15.73,6.011,3.621,0.245,6.872,-14.22,4.762,3.639,-0.089
Kekerengu 2,105,174.041121,-41.971775,17.82,-1.577,3.287,3.816,0.027,17.674,-0.929,3.417,3.091,-0.049
Kekerengu 1,106,173.861123,-42.069555,14.142,-7.071,4.15,5.385,0.351,14.281,-6.07,3.462,4.366,0.135
